# format org.openvanilla.mcbopomofo.sorted
一-ㄧˊ-步-ㄅㄨˋ -4.0431
一-ㄧˊ-段-ㄉㄨㄢˋ -4.2808
一-ㄧˊ-片-ㄆㄧㄢˋ -4.5690
一-ㄧˊ-系-ㄒㄧˋ -4.9286
一-ㄧˊ-系-ㄒㄧˋ-列-ㄌㄧㄝˋ -4.8115
一-ㄧˊ-致-ㄓˋ -4.4623
一-ㄧˊ-萬-ㄨㄢˋ -4.3926
一-ㄧˊ-號-ㄏㄠˋ -4.5886
一-ㄧˊ-貫-ㄍㄨㄢˋ -4.7539
一-ㄧˊ-路-ㄌㄨˋ -4.5646
一-ㄧˊ-輩-ㄅㄟˋ -4.9490
一-ㄧˊ-部-ㄅㄨˋ -4.1985
一-ㄧˊ-部-ㄅㄨˋ-分-ㄈㄣˋ -4.5855
一-ㄧˊ-陣-ㄓㄣˋ -4.4482
一-ㄧˊ-陣-ㄓㄣˋ-子-ㄗ˙ -4.5855
一-ㄧˊ-面-ㄇㄧㄢˋ -4.5553
一-ㄧˊ-項-ㄒㄧㄤˋ -4.4152
一-ㄧˋ-些-ㄒㄧㄝ -3.3864
一-ㄧˋ-來-ㄌㄞˊ -4.7486
一-ㄧˋ-個-ㄍㄜ˙ -2.9781
一-ㄧˋ-個-ㄍㄜ˙-人-ㄖㄣˊ -4.2037
一-ㄧˋ-個-ㄍㄜ˙-月-ㄩㄝˋ -4.4503
一-ㄧˋ-兩-ㄌㄧㄤˇ -4.7459
一-ㄧˋ-分-ㄈㄣ -4.9639
一-ㄧˋ-則-ㄗㄜˊ -4.7929
一-ㄧˋ-千-ㄑㄧㄢ -4.1151
一-ㄧˋ-口-ㄎㄡˇ -4.7973
一-ㄧˋ-口-ㄎㄡˇ-氣-ㄑㄧˋ -4.9302
一-ㄧˋ-台-ㄊㄞˊ -4.5135
一-ㄧˋ-同-ㄊㄨㄥˊ -4.7525
一-ㄧˋ-名-ㄇㄧㄥˊ -4.5840
一-ㄧˋ-回-ㄏㄨㄟˊ -4.9091
一-ㄧˋ-國-ㄍㄨㄛˊ -4.9682
一-ㄧˋ-堆-ㄉㄨㄟ -4.5511
一-ㄧˋ-天-ㄊㄧㄢ -4.1432
一-ㄧˋ-家-ㄐㄧㄚ -4.3057
一-ㄧˋ-層-ㄘㄥˊ -4.9617
一-ㄧˋ-年-ㄋㄧㄢˊ -3.8590
一-ㄧˋ-年-ㄋㄧㄢˊ-級-ㄐㄧˊ -4.8954
一-ㄧˋ-張-ㄓㄤ -4.3897
一-ㄧˋ-批-ㄆㄧ -4.9660
一-ㄧˋ-把-ㄅㄚˇ -4.9596
一-ㄧˋ-支-ㄓ -4.8521
一-ㄧˋ-方-ㄈㄤ -4.1045
一-ㄧˋ-方-ㄈㄤ-面-ㄇㄧㄢˋ -4.0212
一-ㄧˋ-時-ㄕˊ -4.3085
一-ㄧˋ-時-ㄕˊ-間-ㄐㄧㄢ -4.9192
一-ㄧˋ-會-ㄏㄨㄟˇ -4.6884
一-ㄧˋ-會-ㄏㄨㄟˇ-兒-ㄦ -4.7692
一-ㄧˋ-期-ㄑㄧˊ -4.9367
一-ㄧˋ-本-ㄅㄣˇ -4.4548
一-ㄧˋ-條-ㄊㄧㄠˊ -4.4489
一-ㄧˋ-波-ㄅㄛ -4.8230
一-ㄧˋ-波-ㄆㄛ -4.8230
一-ㄧˋ-生-ㄕㄥ -4.4391
一-ㄧˋ-百-ㄅㄞˇ -3.7923
一-ㄧˋ-百-ㄅㄞˇ-萬-ㄨㄢˋ -4.7730
一-ㄧˋ-直-ㄓˊ -3.6293
一-ㄧˋ-直-ㄓˊ-在-ㄗㄞˋ -4.7202
一-ㄧˋ-直-ㄓˊ-都-ㄉㄡ -4.8201
一-ㄧˋ-種-ㄓㄨㄥˇ -3.7770
一-ㄧˋ-篇-ㄆㄧㄢ -4.5104
一-ㄧˋ-群-ㄑㄩㄣˊ -4.5444
一-ㄧˋ-般-ㄅㄢ -3.5927
一-ㄧˋ-般-ㄅㄢ-人-ㄖㄣˊ -4.3667
一-ㄧˋ-起-ㄑㄧˇ -3.6913
一-ㄧˋ-起-ㄑㄧˇ-來-ㄌㄞˊ -4.5435
一-ㄧˋ-連-ㄌㄧㄢˊ -4.5536
一-ㄧˋ-連-ㄌㄧㄢˊ-串-ㄔㄨㄢˋ -4.5855
一-ㄧˋ-邊-ㄅㄧㄢ -4.2949
一-ㄧˋ-開-ㄎㄞ -4.4684
一-ㄧˋ-開-ㄎㄞ-始-ㄕˇ -4.3845
一-ㄧˋ-間-ㄐㄧㄢ -4.9053
一-ㄧˋ-隻-ㄓ -4.5220
一-ㄧˋ-顆-ㄎㄜ -4.8262
一-ㄧˋ-點-ㄉㄧㄢˇ -3.6145
一-ㄧˋ-點-ㄉㄧㄢˇ-點-ㄉㄧㄢˇ -4.6564
丁-ㄉㄧㄥ-丁-ㄉㄧㄥ -6.3128
丁-ㄉㄧㄥ-丁-ㄉㄧㄥ-冬-ㄉㄨㄥ-冬-ㄉㄨㄥ -6.9795
丁-ㄉㄧㄥ-上-ㄕㄤˋ -7.5681
丁-ㄉㄧㄥ-下-ㄒㄧㄚˋ -7.5681
丁-ㄉㄧㄥ-丑-ㄔㄡˇ -6.9660
丁-ㄉㄧㄥ-二-ㄦˋ-烯-ㄒㄧ -7.4243
丁-ㄉㄧㄥ-基-ㄐㄧ-橡-ㄒㄧㄤˋ-膠-ㄐㄧㄠ -7.2805
丁-ㄉㄧㄥ-字-ㄗˋ -6.3128
丁-ㄉㄧㄥ-字-ㄗˋ-尺-ㄔˇ -7.4243
丁-ㄉㄧㄥ-字-ㄗˋ-形-ㄒㄧㄥˊ -7.4243
丁-ㄉㄧㄥ-字-ㄗˋ-褲-ㄎㄨˋ -6.4243
丁-ㄉㄧㄥ-字-ㄗˋ-鎬-ㄏㄠˋ -7.4243
丁-ㄉㄧㄥ-守-ㄕㄡˇ-中-ㄓㄨㄥ -5.6319
丁-ㄉㄧㄥ-憂-ㄧㄡ -7.2671
丁-ㄉㄧㄥ-母-ㄇㄨˇ-憂-ㄧㄡ -7.4243
丁-ㄉㄧㄥ-烯-ㄒㄧ -7.2671
丁-ㄉㄧㄥ-烷-ㄨㄢˊ -6.9660
丁-ㄉㄧㄥ-班-ㄅㄢ -6.6650
丁-ㄉㄧㄥ-男-ㄋㄢˊ -7.5681
丁-ㄉㄧㄥ-當-ㄉㄤ -6.7900
丁-ㄉㄧㄥ-種-ㄓㄨㄥˇ -7.5681
丁-ㄉㄧㄥ-等-ㄉㄥˇ -6.4220
丁-ㄉㄧㄥ-級-ㄐㄧˊ -7.2671
丁-ㄉㄧㄥ-肇-ㄓㄠˋ-中-ㄓㄨㄥ -6.2782
丁-ㄉㄧㄥ-艱-ㄐㄧㄢ -7.5681
丁-ㄉㄧㄥ-苡-ㄧˇ-柔-ㄖㄡˊ -7.4243
丁-ㄉㄧㄥ-苯-ㄅㄣˇ-橡-ㄒㄧㄤˋ-膠-ㄐㄧㄠ -7.2805
丁-ㄉㄧㄥ-酸-ㄙㄨㄢ -7.5681
丁-ㄉㄧㄥ-醇-ㄔㄨㄣˊ -7.5681
丁-ㄉㄧㄥ-項-ㄒㄧㄤˋ -7.5681
丁-ㄉㄧㄥ-香-ㄒㄧㄤ -5.7900
丁-ㄉㄧㄥ-香-ㄒㄧㄤ-樹-ㄕㄨˋ -6.6462
丁-ㄉㄧㄥ-香-ㄒㄧㄤ-油-ㄧㄡˊ -7.4243
丁-ㄉㄧㄥ-香-ㄒㄧㄤ-花-ㄏㄨㄚ -7.4243
丁-ㄉㄧㄥ-香-ㄒㄧㄤ-魚-ㄩˊ -6.2782
七-ㄑㄧ-一-ㄧ -5.3480
七-ㄑㄧ-七-ㄑㄧ -5.2377
七-ㄑㄧ-上-ㄕㄤˋ-八-ㄅㄚ-下-ㄒㄧㄚˋ -6.0764
七-ㄑㄧ-世-ㄕˋ -6.1879
七-ㄑㄧ-人-ㄖㄣˊ -5.5267
七-ㄑㄧ-件-ㄐㄧㄢˋ -6.2671
七-ㄑㄧ-位-ㄨㄟˋ -5.6236
七-ㄑㄧ-個-ㄍㄜ˙ -5.0142
七-ㄑㄧ-個-ㄍㄜ˙-人-ㄖㄣˊ -6.0819
七-ㄑㄧ-億-ㄧˋ -5.2894
七-ㄑㄧ-六-ㄌㄧㄡˋ-人-ㄖㄣˊ -6.0819
七-ㄑㄧ-六-ㄌㄧㄡˋ-人-ㄖㄣˊ-隊-ㄉㄨㄟˋ -6.2014
七-ㄑㄧ-分-ㄈㄣ -5.6438
七-ㄑㄧ-分-ㄈㄣ-鐘-ㄓㄨㄥ -5.8680
七-ㄑㄧ-十-ㄕˊ -3.9684
七-ㄑㄧ-十-ㄕˊ-三-ㄙㄢ -5.0195
七-ㄑㄧ-十-ㄕˊ-五-ㄨˇ -4.8423
七-ㄑㄧ-十-ㄕˊ-八-ㄅㄚ -4.9192
七-ㄑㄧ-十-ㄕˊ-六-ㄌㄧㄡˋ -4.9834
七-ㄑㄧ-十-ㄕˊ-年-ㄋㄧㄢˊ -5.0441
七-ㄑㄧ-十-ㄕˊ-幾-ㄐㄧˇ -5.8680
七-ㄑㄧ-千-ㄑㄧㄢ -4.8869
七-ㄑㄧ-千-ㄑㄧㄢ-人-ㄖㄣˊ -6.1233
七-ㄑㄧ-千-ㄑㄧㄢ-多-ㄉㄨㄛ -5.4798
七-ㄑㄧ-名-ㄇㄧㄥˊ -5.7486
七-ㄑㄧ-嘴-ㄗㄨㄟˇ-八-ㄅㄚ-舌-ㄕㄜˊ -5.7754
七-ㄑㄧ-四-ㄙˋ-七-ㄑㄧ -5.8445
七-ㄑㄧ-夕-ㄒㄧˋ -5.8047
七-ㄑㄧ-天-ㄊㄧㄢ -5.4962
七-ㄑㄧ-家-ㄐㄧㄚ-灣-ㄨㄢ-溪-ㄒㄧ -5.5645
七-ㄑㄧ-年-ㄋㄧㄢˊ -4.3789
七-ㄑㄧ-年-ㄋㄧㄢˊ-級-ㄐㄧˊ -6.1233
七-ㄑㄧ-度-ㄉㄨˋ -5.8199
